#aff,Name,formula,dens,cond
# primitive siderophiles
PRF,nickel_iron,1Fe1Ni,7.9,1360
PRF,iron,2Fe,7.5,1400
PRF,platinum,1Pt,21.45,1410
PRF,troilite,1Fe1S,4.7,700
PRF,millerite,1Ni1S,5.4,700
PRF,molybdenite,1Mo2S,4.73,1450
PRF,ferberite,1Fe1W4O,7.58,1400
PRF,pyrolusite,1Mn2O,4.7,1190
PRF,columbite,1Mn2Nb6O,6.0,1400
PRF,fe_columbite,1Fe2Nb6O,7.0,1100
PRF,ytterbite,1Ca1Mg2Eu6O,3.7,1500
PRF,ilmenite,1Fe1Ti3O,4.73,1150
# primitive chalcophiles
PRC,chalcocite,2Cu1S,5.65,650
PRC,galena,1Pb1S,7.4,500
PRC,ag_galena,2Ag1Pb2S,7.23,700
PRC,cinnabar,1Hg1S,8.2,400
PRC,pyrite,1Fe2S,5.0,1000
PRC,sphalerite,1Zn1Fe2S,4.0,600
PRC,stannite,2Cu1Fe1Sn4S,4.5,650
PRC,gold,1Au,19.3,1380
# primitive silicates
PRS,pyroxene,1Mg1Fe2Si6O,3.0,900
PRS,ferrosilite,2Fe2Si6O,3.25,900
PRS,enstatite,2Mg2Si6O,3.25,1350
PRS,cr_fe_pyroxene,1Cr1Fe1Si1Al6O,3.1,900
PRS,mn_fe_pyroxene,1Mn1Fe1Si1Al6O,3.1,900
PRS,ti_pyroxene,1Ca1Ti1Si1Al6O,3.25,1500
PRS,al_pyroxene,1Mg1Fe1Si1Al6O,2.9,900
PRS,fe_al_pyroxene,2Fe2Si1Al6O,3.1,950
PRS,mg_al_pyroxene,2Mg2Si1Al6O,3.0,1400
PRS,hedenbergite,1Ca1Fe1Si1Al6O,3.56,1000
PRS,diopside,1Ca1Mg1Al1Si6O,3.28,1450
PRS,spodumene,1Li1Al2Si6O,3.1,1200
PRS,olivine,1Fe1Mg1Si4O,3.9,900
PRS,forsterite,2Mg1Si4O,3.2,1440
PRS,fayalite,2Fe1Si4O,4.5,900
PRS,cr_olivine,1Fe1Cr1Si4O,4.5.900
PRS,tephroite,2Mn1Si4O,3.4,950
PRS,zircon,1Zr1Si4O,4.65,1600
PRS,willemite,2Zn1Si4O,4.1,800
PRS,albite,1Na1Al3Si8O,2.62,1000
PRS,ree_albite,2Na1Al1Eu2Si16O,2.72,900
PRS,orthoclase,1K1Al3Si8O,2.6,1000
PRS,li_feldspar,1Li1Al3Si8O,2.5,1050
PRS,anorthite,1Ca2Al2Si8O,2.73,1360
PRS,si_anorthite,1Ca1Al3Si8O,2.73,1360
PRS,ree_anorthite,1Ca1Eu1Al2Si8O,2.8,1300
PRS,celsian,1Ba2Al2Si8O,3.22,950
PRS,hyalophane,1Ba1Na1Al2Si8O,2.81,900
# primitive gases
PRG,helium,1He,0.15,4
PRG,nitrogen,2N,0.81,78
PRG,hydrogen,2H,0.071,20
# primitive ices
PRI,salt,1Na1Cl,2.17,500
PRI,k_salt,1K1Cl,1.99,500
PRI,li_salt,1Li1Cl,1.3,600
PRI,water,2H1O,0.92,175
PRI,methane,1C4H,0.47,90
PRI,ammonia,1N3H,0.82,180
PRI,carbon_dioxide,1C2O,1.03,195
PRI,carbon_monoxide,1C1O,0.8,68
PRI,chloromethane,1C3H1Cl,0.92,170
PRI,ethane,3H2C3H,1.04,100
