Z,N,symb, half_life [s], decay, decay %, decay, decay %, decay, decay %,Binding/A
1,3,H, ,N,100, , , , ,1720.449
1,4,H, ,N,100, , , , ,1000.0
1,5,H,2.85148571919616E-22,N,100, , , , ,961.639
2,1,He, , , , , , , ,3094.327
2,2,He, , , , , , , ,7073.915
2,3,He,7.04070547949669E-22,N, , , , , ,5512.132
2,4,He,0.8067,B-,100, , , , ,4878.519
2,5,He,3.04158476714257E-21,N, , , , , ,4123.057
2,6,He,0.1191,B-,100,B-N,16, , ,3924.52
2,7,He, ,N,100, , , , ,3349.037
2,8,He,1.52079238357129E-21,N,100, , , , ,2995.134
3,1,Li, ,P,100, , , , ,1153.76
3,2,Li,3.70924971602753E-22,P, , , , , ,5266.132
3,3,Li, , , , , , , ,5332.331
3,4,Li, , , , , , , ,5606.439
3,5,Li,0.8399,B-,100,B-A,100, , ,5159.712
3,6,Li,0.1783,B-,100,B-N,50.8, , ,5037.768
3,7,Li, ,N,100, , , , ,4531.351
3,8,Li,0.00875,B-,100,B-N, , , ,4155.381
4,2,Be,4.95910559860202E-21,A,100,2P,100, , ,4487.247
4,3,Be,4598208,EC,100, , , , ,5371.548
4,4,Be,8.19098231726007E-17,A,100, , , , ,7062.435
4,5,Be, , , , , , , ,6462.668
4,6,Be,47650958221633.9,B-,100, , , , ,6497.63
4,7,Be,13.76,B-,100,B-A,3.1,B-P,0.00083,5952.54
4,8,Be,0.0213,B-,100,B-N,1, , ,5720.722
4,9,Be,2.7E-21,N, , , , , ,5241.435
4,10,Be,0.00435,B-,100,B-N,81,B-2N,5,4993.897
4,11,Be,7.86616750123079E-22,N,100, , , , ,4540.97
4,12,Be,5.70297143839232E-22,N,100, , , , ,4285.285
5,2,B,5.69585162386249E-22,P,100, , , , ,3558.705
5,3,B,0.77,EC+B+,100,B+A,100, , ,4717.155
5,4,B,8.44884657539603E-19,P,100, , , , ,6257.07
5,5,B, , , , , , , ,6475.083
5,6,B, , , , , , , ,6927.732
5,7,B,0.0202,B-,100, , , , ,6631.223
5,8,B,0.01733,B-,100,B-N,0.286, , ,6496.419
5,9,B,0.0125,B-,100,B-N,6.1, , ,6101.644
5,10,B,0.00993,B-,100,B-N,99.68, , ,5879.985
5,11,B,4.56237715071386E-21,N,100, , , , ,5507.302
5,12,B,0.00508,B-,100,B-N,63,B-2N,11,5269.667
6,2,C,1.98364223944081E-21,P,100,A, , , ,3101.524
6,3,C,0.1265,EC+B+,100,B+P,61.6,B+A,38.4,4337.423
6,4,C,19.29,EC+B+,100, , , , ,6032.042
6,5,C,1221.84,EC+B+,100, , , , ,6676.456
6,6,C, , , , , , , ,7680.144
6,7,C, , , , , , , ,7469.849
6,8,C,179874478055.174,B-,100, , , , ,7520.319
6,9,C,2.449,B-,100, , , , ,7100.169
6,10,C,0.747,B-,100,B-N,99, , ,6922.054
6,11,C,0.193,B-,100,B-N,32, , ,6558.024
6,12,C,0.092,B-,100,B-N,31.5, , ,6426.131
6,14,C,0.014,B-,100,B-N,72, , ,5961.435
6,16,C,0.0061,B-,100,B-N,61,B-2N,37,5421.077
7,3,N, ,P,100, , , , ,3643.672
7,4,N,5.49683994061911E-22,P,100, , , , ,5364.046
7,5,N,0.011,EC+B+,100, , , , ,6170.109
7,6,N,597.9,EC+B+,100, , , , ,7238.863
7,7,N, , , , , , , ,7475.614
7,8,N, , , , , , , ,7699.46
7,9,N,7.13,B-,100,B-A,0.0012, , ,7373.796
7,10,N,4.173,B-,100,B-N,95.1,B-A,0.0025,7286.229
7,11,N,0.624,B-,100,B-N,14.3,B-A,12.2,7038.562
7,12,N,0.271,B-,100,B-N,54.6, , ,6948.543
7,13,N,0.13,B-,100,B-N,57, , ,6709.171
7,14,N,0.084,B-,100,B-N,86, , ,6609.015
7,15,N,0.023,B-,100,B-N,34,B-2N,12,6378.534
7,16,N,0.0141,B-,100,B-N,42,B-2N,8,6236.671
7,17,N,0.000000052,N, , , , , ,5887
8,4,O,1.14059428767846E-21,P, , , , , ,4890.202
8,5,O,0.00858,B+P,100,EC+B+,100, , ,5811.763
8,6,O,70.606,EC+B+,100, , , , ,7052.278
8,7,O,122.24,EC+B+,100, , , , ,7463.692
8,8,O, , , , , , , ,7976.206
8,9,O, , , , , , , ,7750.728
8,10,O, , , , , , , ,7767.097
8,11,O,26.88,B-,100, , , , ,7566.495
8,12,O,13.51,B-,100, , , , ,7568.57
8,13,O,3.42,B-,100, , , , ,7389.374
8,14,O,2.25,B-,100,B-N,22, , ,7364.871
8,15,O,0.082,B-,100,B-N,31, , ,7163.485
8,16,O,0.065,B-,100,B-N,58, , ,7039.685
8,18,O,4.5E-12,2N,100, , , , ,6497.478
9,5,F,5.01360126452072E-22,P, , , , , ,5285.208
9,6,F,6.91269265259675E-22,P,100, , , , ,6497.459
9,7,F,1.14059428767846E-20,P,100, , , , ,6963.731
9,8,F,64.49,EC+B+,100, , , , ,7542.328
9,9,F,6586.2,EC+B+,100, , , , ,7631.638
9,10,F, , , , , , , ,7779.018
9,11,F,11.07,B-,100, , , , ,7720.134
9,12,F,4.158,B-,100, , , , ,7738.293
9,13,F,4.23,B-,100,B-N,11, , ,7624.295
9,14,F,2.23,B-,100, , , , ,7622.344
9,15,F,0.39,B-,100,B-N,5.9, , ,7463.582
9,16,F,0.08,B-,100,B-N,23.1, , ,7336.306
